query,group,keyword_ok,keyword_hits,used_query,top1,topk,low,context_len,ctx_docs,answer,faith,rel,hall,judge_raw,top1_pre,topk_pre,keyword_ok_pre,keyword_hits_pre,low_pre
닭가슴살 삶는 방법과 시간,B,True,방법,닭가슴살 삶는 방법과 시간,0.5232965526309867,"0.523, 0.523, 0.517, 0.516",False,426,3,"**메뉴명**: 닭가슴살 삶기  
**재료**: 닭가슴살 200g, 물, 대파 1대, 후추 1t, 마늘 10알  
**간단 조리 요약**: 끓는 물에 닭가슴살을 10~15분간 삶고, 찬물 또는 얼음물에서 식힌 후 먹기 좋은 크기로 찢어줍니다.",5,5,1,"Faith=5, Rel=5, Hall=1",0.5232965526309867,"0.523, 0.523, 0.517, 0.516",True,방법,False
닭가슴살 삶는 방법과 시간,C,True,방법,닭가슴살 삶는 방법과 시간,0.5232965526309867,"0.523, 0.523, 0.517, 0.516",False,426,3,"/닭가슴살 삶기/닭가슴살 200g, 물, 대파 1대, 후추 1t, 마늘 10알/닭가슴살을 끓는 물에 10~15분간 삶고, 찬물 또는 얼음물에서 식힌 후 먹기 좋은 크기로 찢어 재워둡니다.",5,5,1,"Faith=5, Rel=5, Hall=1",0.5232965526309867,"0.523, 0.523, 0.517, 0.516",True,방법,False
콩나물국 레시피 간단히,A,True,레시피,콩나물국 레시피 간단히,0.5335259299393688,"0.534, 0.534, 0.509, 0.508",False,327,3,"1. 맑은 콩나물국  
   - 재료: 콩나물 150g, 대파 15g, 홍고추 1개, 다진 마늘 1큰술, 까나리 액젓 1.5큰술, 참치액 1.5큰술, 동전 육수 2개, 물 1.2L  
   - 조리 요약: 모든 재료를 넣고 끓여서 간을 맞춘 후 완성한다.

2. 간단 콩나물국  
   - 재료: 콩나물 1봉지, 멸치 10마리, 양파 1/2개, 대파 흰 부분 1개, 물 2.5L, 마늘 2숟가락, 파 2숟가락, 국간장 1숟가락, 소금 1/2숟가락  
   - 조리 요약: 육수 재료를 끓인 후 콩나물과 양념을 추가하여 끓인다.",4,5,1,"Faith=4, Rel=5, Hall=1",0.5335259299393688,"0.534, 0.534, 0.509, 0.508",True,레시피,False
콩나물국 레시피 간단히,B,True,레시피,콩나물국 레시피 간단히,0.5335259299393688,"0.534, 0.534, 0.509, 0.508",False,327,3,"1. 맑은 콩나물국  
   - 재료: 콩나물 150g, 대파 15g, 홍고추 1개, 다진마늘 1큰술, 까나리액젓 1.5큰술, 참치액 1.5큰술, 동전육수 2개, 물 1.2L  
   - 조리 요약: 모든 재료를 넣고 끓여서 간을 맞춘다.

2. 간단 콩나물국  
   - 재료: 콩나물 1봉지, 멸치 10마리, 양파 1/2개, 대파 흰 부분 1개, 물 2.5L, 마늘 2숟가락, 파 2숟가락, 국간장 1숟가락, 소금 1/2숟가락  
   - 조리 요약: 육수 재료를 끓인 후 콩나물과 양념을 추가하여 끓인다.",4,5,1,"Faith=4, Rel=5, Hall=1",0.5335259299393688,"0.534, 0.534, 0.509, 0.508",True,레시피,False
콩나물국 레시피 간단히,C,True,레시피,콩나물국 레시피 간단히,0.5335259299393688,"0.534, 0.534, 0.509, 0.508",False,327,3,"1. 맑은 콩나물국  
   - 재료: 콩나물 150g, 대파 15g, 홍고추 1개, 다진 마늘 1큰술, 까나리 액젓 1.5큰술, 참치액 1.5큰술, 동전 육수 2개, 물 1.2L  
   - 조리 요약: 모든 재료를 넣고 끓여서 간을 맞춘다.

2. 간단 콩나물국  
   - 재료: 콩나물 1봉지, 멸치 10마리, 양파 1/2개, 대파 흰 부분 1개, 물 2.5L, 마늘 2숟가락, 파 2숟가락, 국간장 1숟가락, 소금 1/2숟가락  
   - 조리 요약: 육수 재료를 끓인 후 콩나물과 양념을 추가하여 끓인다.",4,5,1,"Faith=4, Rel=5, Hall=1",0.5335259299393688,"0.534, 0.534, 0.509, 0.508",True,레시피,False
달걀 두 개 아침 메뉴 추천과 레시피,A,True,"메뉴, 레시피",달걀 두 개 아침 메뉴 추천과 레시피,0.4142243861948559,"0.414, 0.393, 0.393, 0.381",False,495,3,"토마토 달걀 볶음 / 재료: 달걀 2개, 토마토 중간 크기 1개, 양파 1/2개, 식용유 1큰술, 소금 1꼬집, 저당 케첩 1큰술, 굴소스 1큰술, 후추 약간 / 조리 요약: 달걀과 양파를 볶다가 토마토를 추가하고 양념으로 간을 맞춘 후 후추와 쪽파를 곁들여 완성합니다.",5,5,1,"Faith=5, Rel=5, Hall=1",0.4142243861948559,"0.414, 0.393, 0.393, 0.381",True,"메뉴, 레시피",False
달걀 두 개 아침 메뉴 추천과 레시피,B,True,"메뉴, 레시피",달걀 두 개 아침 메뉴 추천과 레시피,0.4142243861948559,"0.414, 0.393, 0.393, 0.381",False,495,3,"1. **토마토 달걀 볶음**  
   - **재료**: 달걀 2개, 토마토 중간 크기 1개, 양파 1/2개, 식용유 1큰술, 소금 1꼬집, 저당 케첩 1큰술, 굴소스 1큰술, 후추 약간  
   - **조리 요약**: 양파와 토마토를 볶다가 달걀을 넣고 조리한 후, 양념을 추가하여 볶아 완성. 후추와 송송 썬 쪽파로 마무리.

2. **달걀찜밥**  
   - **재료**: 달걀 2개, 대파 1/4대, 당근 1/5개, 밥 3T, 물 또는 우유 2T, 맛술 1T, 새우젓 1/2t  
   - **조리 요약**: 모든 재료를 섞어 전자레인지에 찜하여 완성. 정보 부족.",5,5,1,"Faith=5, Rel=5, Hall=1",0.4142243861948559,"0.414, 0.393, 0.393, 0.381",True,"메뉴, 레시피",False
달걀 두 개 아침 메뉴 추천과 레시피,C,True,"메뉴, 레시피",달걀 두 개 아침 메뉴 추천과 레시피,0.4141387016518333,"0.414, 0.393, 0.393, 0.381",False,495,3,"토마토 달걀 볶음 / 재료: 달걀 2개, 토마토 중간 크기 1개, 양파 1/2개, 식용유 1큰술, 소금 1꼬집, 저당 케첩 1큰술, 굴소스 1큰술, 후추 약간 / 조리 요약: 양파와 토마토를 볶다가 달걀을 넣고 조리한 후, 소금, 케첩, 굴소스로 간을 맞추고 후추와 쪽파를 곁들여 완성.",5,5,1,"Faith=5, Rel=5, Hall=1",0.4141387016518333,"0.414, 0.393, 0.393, 0.381",True,"메뉴, 레시피",False
비건 파스타 크림 없이 만드는 법,A,False,,비건 파스타 크림 없이 만드는 법,0.49791462463966507,"0.498, 0.496, 0.465, 0.463",True,610,2,정보 부족,1,1,1,"Faith=1, Rel=1, Hall=1",0.49791462463966507,"0.498, 0.496, 0.465, 0.463",False,,True
비건 파스타 크림 없이 만드는 법,B,True,조리,비건 파스타를 크림 없이 만드는 조리법 알려줘.,0.3363155995476802,"0.336, 0.333, 0.333, 0.331",False,697,2,정보 부족,1,1,1,"Faith=1, Rel=1, Hall=1",0.4978151159303308,"0.498, 0.495, 0.464, 0.463",False,,True
비건 파스타 크림 없이 만드는 법,C,False,,비건 파스타 크림 없이 만드는 법,0.4978151159303308,"0.498, 0.495, 0.464, 0.463",True,0,0,해당 질문은 제공된 레시피 지식만으로는 충분히 답변하기 어렵습니다. '메뉴/레시피/조리/방법'을 포함해 다시 질문해 주세요.,2,3,1,"Faith=2, Rel=3, Hall=1",0.4978151159303308,"0.498, 0.495, 0.464, 0.463",False,,True
바삭한 감자전 레시피 팁,A,True,레시피,바삭한 감자전 레시피 팁,0.50235812473132,"0.502, 0.502, 0.502, 0.502",False,510,2,정보 부족,1,2,1,"Faith=1, Rel=2, Hall=1",0.50235812473132,"0.502, 0.502, 0.502, 0.502",True,레시피,False
바삭한 감자전 레시피 팁,B,True,레시피,바삭한 감자전 레시피 팁,0.50235812473132,"0.502, 0.502, 0.502, 0.502",False,510,2,정보 부족,1,2,1,"Faith=1, Rel=2, Hall=1",0.50235812473132,"0.502, 0.502, 0.502, 0.502",True,레시피,False
바삭한 감자전 레시피 팁,C,True,레시피,바삭한 감자전 레시피 팁,0.5024178468156599,"0.502, 0.502, 0.502, 0.502",False,510,2,정보 부족,1,2,1,"Faith=1, Rel=2, Hall=1",0.5024178468156599,"0.502, 0.502, 0.502, 0.502",True,레시피,False
오곡밥 물 비율 알려줘(압력밥솥),A,False,,오곡밥 물 비율 알려줘(압력밥솥),0.5277327613178493,"0.528, 0.528, 0.461, 0.457",True,749,3,"오곡밥 물 비율은 쌀과 물의 비율을 1:1로 잡고, 찹쌀을 불린 상태이기 때문에 평상시 밥 물량보다 조금 적게 잡아줍니다.",5,5,1,"Faith=5, Rel=5, Hall=1",0.5277327613178493,"0.528, 0.528, 0.461, 0.457",False,,True
오곡밥 물 비율 알려줘(압력밥솥),B,False,,압력밥솥으로 오곡밥을 만들 때 필요한 물 비율을 알려줘.,0.5471677268374353,"0.547, 0.547, 0.534, 0.530",True,663,3,정보 부족,1,1,1,"Faith=1, Rel=1, Hall=1",0.5276573184590149,"0.528, 0.528, 0.461, 0.457",False,,True
오곡밥 물 비율 알려줘(압력밥솥),C,False,,오곡밥 물 비율 알려줘(압력밥솥),0.5277537925952562,"0.528, 0.528, 0.461, 0.457",True,0,0,해당 질문은 제공된 레시피 지식만으로는 충분히 답변하기 어렵습니다. '메뉴/레시피/조리/방법'을 포함해 다시 질문해 주세요.,2,3,1,"Faith=2, Rel=3, Hall=1",0.5277537925952562,"0.528, 0.528, 0.461, 0.457",False,,True
레어 스테이크 굽는 방법,A,True,방법,레어 스테이크 굽는 방법,0.39350191874695917,"0.394, 0.344, 0.344, 0.338",False,555,3,정보 부족,1,2,1,"Faith=1, Rel=2, Hall=1",0.39350191874695917,"0.394, 0.344, 0.344, 0.338",True,방법,False
레어 스테이크 굽는 방법,B,True,방법,레어 스테이크 굽는 방법,0.39354537214777385,"0.394, 0.344, 0.344, 0.338",False,555,3,정보 부족,1,1,1,"Faith=1, Rel=1, Hall=1",0.39354537214777385,"0.394, 0.344, 0.344, 0.338",True,방법,False
레어 스테이크 굽는 방법,C,True,방법,레어 스테이크 굽는 방법,0.39352973566697635,"0.394, 0.344, 0.344, 0.338",False,555,3,정보 부족,1,2,1,"Faith=1, Rel=2, Hall=1",0.39352973566697635,"0.394, 0.344, 0.344, 0.338",True,방법,False
오븐 없이 마늘빵 레시피,A,True,레시피,오븐 없이 마늘빵 레시피,0.49504838605983315,"0.495, 0.495, 0.433, 0.433",False,122,2,"/마늘빵/식빵 4장, 버터 1스푼, 설탕 1스푼, 다진 마늘 1스푼, 파슬리 가루 1/2스푼/식빵에 버터, 설탕, 다진 마늘, 파슬리 가루를 섞어 발라 팬에 구워낸다.",4,5,2,"Faith=4, Rel=5, Hall=2",0.49504838605983315,"0.495, 0.495, 0.433, 0.433",True,레시피,False
오븐 없이 마늘빵 레시피,B,True,레시피,오븐 없이 마늘빵 레시피,0.49504838605983315,"0.495, 0.495, 0.433, 0.433",False,122,2,"/마늘빵/식빵 4장, 버터 1스푼, 설탕 1스푼, 다진 마늘 1스푼, 파슬리 가루 1/2스푼/식빵에 버터, 다진 마늘, 설탕, 파슬리 가루를 섞어 발라 팬에 구워낸다.",5,5,1,"Faith=5, Rel=5, Hall=1",0.49504838605983315,"0.495, 0.495, 0.433, 0.433",True,레시피,False
오븐 없이 마늘빵 레시피,C,True,레시피,오븐 없이 마늘빵 레시피,0.49504838605983315,"0.495, 0.495, 0.433, 0.433",False,122,2,"/마늘빵/식빵 4장, 버터 1스푼, 설탕 1스푼, 다진 마늘 1스푼, 파슬리 가루 1/2스푼/식빵에 버터, 다진 마늘, 설탕, 파슬리 가루를 섞어 발라 팬에 구워낸다.",5,5,1,"Faith=5, Rel=5, Hall=1",0.49504838605983315,"0.495, 0.495, 0.433, 0.433",True,레시피,False
김밥 밥 간 맞추는 비율 레시피,A,True,레시피,김밥 밥 간 맞추는 비율 레시피,0.4261319245703963,"0.426, 0.426, 0.422, 0.421",False,294,3,정보 부족,1,1,1,"Faith=1, Rel=1, Hall=1",0.4261319245703963,"0.426, 0.426, 0.422, 0.421",True,레시피,False
김밥 밥 간 맞추는 비율 레시피,B,True,레시피,김밥 밥 간 맞추는 비율 레시피,0.42609142144897727,"0.426, 0.426, 0.422, 0.421",False,294,3,정보 부족,1,2,1,"Faith=1, Rel=2, Hall=1",0.42609142144897727,"0.426, 0.426, 0.422, 0.421",True,레시피,False
김밥 밥 간 맞추는 비율 레시피,C,True,레시피,김밥 밥 간 맞추는 비율 레시피,0.42613609710839884,"0.426, 0.426, 0.422, 0.421",False,294,3,정보 부족,1,2,1,"Faith=1, Rel=2, Hall=1",0.42613609710839884,"0.426, 0.426, 0.422, 0.421",True,레시피,False
제육볶음 덜 맵게 만드는 팁,A,False,,제육볶음 덜 맵게 만드는 팁,0.3678422851707992,"0.368, 0.367, 0.367, 0.367",True,773,3,정보 부족,1,1,1,"Faith=1, Rel=1, Hall=1",0.3678422851707992,"0.368, 0.367, 0.367, 0.367",False,,True
제육볶음 덜 맵게 만드는 팁,B,True,"조리, 방법",덜 맵게 만드는 제육볶음 조리 방법을 알려줘.,0.20679184345903223,"0.207, 0.207, 0.207, 0.207",False,212,2,정보 부족,1,1,1,"Faith=1, Rel=1, Hall=1",0.3678422851707992,"0.368, 0.367, 0.367, 0.367",False,,True
제육볶음 덜 맵게 만드는 팁,C,False,,제육볶음 덜 맵게 만드는 팁,0.37322144529939605,"0.373, 0.372, 0.372, 0.372",True,0,0,해당 질문은 제공된 레시피 지식만으로는 충분히 답변하기 어렵습니다. '메뉴/레시피/조리/방법'을 포함해 다시 질문해 주세요.,2,3,1,"Faith=2, Rel=3, Hall=1",0.37322144529939605,"0.373, 0.372, 0.372, 0.372",False,,True
라면 토핑 추천 3가지,A,False,,라면 토핑 추천 3가지,0.2796198275182197,"0.280, 0.261, 0.260, 0.259",True,347,3,정보 부족,1,1,1,"Faith=1, Rel=1, Hall=1",0.2796198275182197,"0.280, 0.261, 0.260, 0.259",False,,True
라면 토핑 추천 3가지,B,True,조리,'라면에 어울리는 맛있는 토핑 조리법 3가지 추천해줘',0.43884977825540705,"0.439, 0.409, 0.409, 0.385",False,123,3,정보 부족,1,1,1,"Faith=1, Rel=1, Hall=1",0.2796198275182197,"0.280, 0.261, 0.260, 0.259",False,,True
라면 토핑 추천 3가지,C,False,,라면 토핑 추천 3가지,0.2796198275182197,"0.280, 0.261, 0.260, 0.259",True,0,0,해당 질문은 제공된 레시피 지식만으로는 충분히 답변하기 어렵습니다. '메뉴/레시피/조리/방법'을 포함해 다시 질문해 주세요.,2,3,1,"Faith=2, Rel=3, Hall=1",0.2796198275182197,"0.280, 0.261, 0.260, 0.259",False,,True
된장찌개에 어울리는 채소 조합,A,False,,된장찌개에 어울리는 채소 조합,0.44662545033718193,"0.447, 0.446, 0.444, 0.444",True,219,2,"(메뉴명/재료/간단 조리 요약)  
(된장찌개/애호박, 마늘, 파, 양파, 청고추, 홍고추, 느타리, 두부/재료를 손질한 후 물과 된장을 넣고, 손질한 채소를 크고 단단한 순서로 넣어 5분간 끓인다.)",5,5,1,"Faith=5, Rel=5, Hall=1",0.44662545033718193,"0.447, 0.446, 0.444, 0.444",False,,True
된장찌개에 어울리는 채소 조합,B,True,"조리, 방법",된장찌개에 어울리는 채소 조합을 활용한 조리 방법 알려줘.,0.4151619006931323,"0.415, 0.413, 0.410, 0.410",False,901,3,"**메뉴명:** 채소 된장찌개  
**재료:** 애호박, 마늘, 파, 양파, 청고추, 홍고추, 느타리, 두부, 된장  
**조리 요약:** 1) 재료를 손질한다. 2) 물(멸치육수)을 붓고 된장을 넣는다. 3) 손질한 채소를 크고 단단한 순서로 넣고 끓인다. 4) 5분 후 맛있게 먹는다.",5,5,1,"Faith=5, Rel=5, Hall=1",0.44662545033718193,"0.447, 0.446, 0.444, 0.444",False,,True
된장찌개에 어울리는 채소 조합,C,False,,된장찌개에 어울리는 채소 조합,0.4465788780695774,"0.447, 0.446, 0.444, 0.444",True,0,0,해당 질문은 제공된 레시피 지식만으로는 충분히 답변하기 어렵습니다. '메뉴/레시피/조리/방법'을 포함해 다시 질문해 주세요.,2,3,1,"Faith=2, Rel=3, Hall=1",0.4465788780695774,"0.447, 0.446, 0.444, 0.444",False,,True
초코 퓨지 케이크 만드는법,A,True,만드는법,초코 퓨지 케이크 만드는법,0.49003906452691937,"0.490, 0.490, 0.475, 0.465",False,825,3,정보 부족,1,1,1,"Faith=1, Rel=1, Hall=1",0.49003906452691937,"0.490, 0.490, 0.475, 0.465",True,만드는법,False
초코 퓨지 케이크 만드는법,B,True,만드는법,초코 퓨지 케이크 만드는법,0.49019121465004367,"0.490, 0.490, 0.475, 0.465",False,825,3,정보 부족,1,1,1,"Faith=1, Rel=1, Hall=1",0.49019121465004367,"0.490, 0.490, 0.475, 0.465",True,만드는법,False
초코 퓨지 케이크 만드는법,C,True,만드는법,초코 퓨지 케이크 만드는법,0.49014051199128505,"0.490, 0.490, 0.475, 0.465",False,825,3,정보 부족,1,1,1,"Faith=1, Rel=1, Hall=1",0.49014051199128505,"0.490, 0.490, 0.475, 0.465",True,만드는법,False
일주일치 도시락 반찬 3가지 레시피,A,True,레시피,일주일치 도시락 반찬 3가지 레시피,0.18704022866658387,"0.187, 0.187, 0.156, 0.156",True,194,2,"1. 부추 오이김치  
   - 재료: 오이 3개, 굵은 소금, 고춧가루, 멸치 액젓, 다진 마늘, 올리고당, 매실액  
   - 간단 조리 요약: 오이를 소금에 절인 후, 나머지 재료와 섞어 김치를 담근다.

2. 가지 & 오이김치  
   - 재료: 가지 5개, 다다기 오이 5개, 소금 1/3T, 물 300ml, 실파 75g, 부추 75g, 새우젓 국물 5T, 고춧가루 5T, 멸치 액젓 3T, 설탕 1.5T, 다진 마늘 2T, 다진 생강 1/2T, 홍고추 7개, 물 70ml  
   - 간단 조리 요약: 가지와 오이를 소금에 절인 후, 김치소 재료를 섞어 김치를 담근다.

3. 정보 부족",5,5,1,"Faith=5, Rel=5, Hall=1",0.18704022866658387,"0.187, 0.187, 0.156, 0.156",True,레시피,True
일주일치 도시락 반찬 3가지 레시피,B,True,"레시피, 요리",일주일치 도시락을 위한 간단한 반찬 3가지 요리 레시피를 알려줘.,0.46146813738986936,"0.461, 0.395, 0.395, 0.391",False,362,3,"1. 도시락 김밥 / 재료: 밥 1/2공기, 김 1장, 두릅 4개, 땡초 2개, 묵은지, 소금, 깨소금, 참기름 약간 / 간단 조리 요약: 밥, 소금, 참기름을 섞고, 김, 두릅, 땡초, 묵은지를 넣어 돌돌 말아 참기름을 발라 도시락에 담고 깨소금을 뿌린다.

2. 정보 부족

3. 정보 부족",4,4,2,"Faith=4, Rel=4, Hall=2",0.187121993552695,"0.187, 0.187, 0.156, 0.156",True,레시피,True
일주일치 도시락 반찬 3가지 레시피,C,True,레시피,일주일치 도시락 반찬 3가지 레시피,0.18704022866658387,"0.187, 0.187, 0.156, 0.156",True,0,0,해당 질문은 제공된 레시피 지식만으로는 충분히 답변하기 어렵습니다. '메뉴/레시피/조리/방법'을 포함해 다시 질문해 주세요.,2,3,1,"Faith=2, Rel=3, Hall=1",0.18704022866658387,"0.187, 0.187, 0.156, 0.156",True,레시피,True
간단하게 뭐 해먹지,A,False,,간단하게 뭐 해먹지,0.3206815632673522,"0.321, 0.321, 0.320, 0.320",True,134,3,"메뉴명: 피클  
재료: 다오네 장아찌원액, 채소 (정보 부족)  
간단 조리 요약: 채소를 준비한 후 다오네 장아찌원액을 부어 담아두면 이틀 후부터 먹을 수 있습니다.",4,5,1,"Faith=4, Rel=5, Hall=1",0.3206815632673522,"0.321, 0.321, 0.320, 0.320",False,,True
간단하게 뭐 해먹지,B,True,"메뉴, 레시피, 요리",간단하게 만들 수 있는 요리 메뉴나 레시피 추천해줘.,0.4658413786850568,"0.466, 0.465, 0.465, 0.465",False,388,3,"1. 핫도그 / 정보 부족 / 조리 과정이 간편하고 쉽게 만들 수 있음.

2. 에어프라이어 새우구이 / 정보 부족 / 누구나 간단하게 완성할 수 있음.",4,5,2,"Faith=4, Rel=5, Hall=2",0.3206815632673522,"0.321, 0.321, 0.320, 0.320",False,,True
간단하게 뭐 해먹지,C,False,,간단하게 뭐 해먹지,0.3206815632673522,"0.321, 0.321, 0.320, 0.320",True,0,0,해당 질문은 제공된 레시피 지식만으로는 충분히 답변하기 어렵습니다. '메뉴/레시피/조리/방법'을 포함해 다시 질문해 주세요.,3,4,1,"Faith=3, Rel=4, Hall=1",0.3206815632673522,"0.321, 0.321, 0.320, 0.320",False,,True
빨리 되는 거,A,False,,빨리 되는 거,0.2084413025223546,"0.208, 0.208, 0.138, 0.138",True,199,3,"(곤드레 굴솥밥/전분물 1T, 녹말 1t, 물 1T, 참기름 1t, 통깨 1t/전분물과 녹말을 물에 섞어 빠르게 저은 후, 불을 끄고 참기름과 통깨를 넣어 마무리. 10분 뜸을 들인 후 비벼서 제공.)",4,3,2,"Faith=4, Rel=3, Hall=2",0.2084413025223546,"0.208, 0.208, 0.138, 0.138",False,,True
